ID;Severidad_accidente;Numero_vehiculos;Numero_victimas;Dia_semana;Tipo_via;Limite_velocidad;Iluminacion;Clima;Condicion_via;Condiciones especiales;Tipo_area
200906L008774;Fatal;1;1;4;Autovia;60;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
200943N009049;Fatal;3;2;6;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
201254A188512;Fatal;1;1;1;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;Si;Rural
201354C033613;Fatal;1;1;2;Autovia;40;Luz_dia;Ventoso;Humeda;No;Urbano
201422F404780;Fatal;1;1;5;Calzada;60;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200943S055119;Fatal;1;1;6;Autovia;30;Oscuridad con luces encendidas;Bueno;Seca;Si;Rural
200654MB09106;Fatal;2;1;7;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
20141314M0958;Fatal;2;1;3;Calzada;50;Luz_dia;Bueno;Seca;No;Rural
200901TE00079;Fatal;1;1;1;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200830D000149;Fatal;2;2;6;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Rural
2013170S22983;Fatal;3;2;1;Calzada;40;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
201154DN06311;Fatal;6;4;1;Autovia;70;Oscuridad sin iluminacion;Bueno;Seca;No;Rural
200504CC05025;Fatal;2;3;1;Calzada;30;Luz_dia;Bueno;Seca;No;Rural
201097QC70607;Fatal;1;1;3;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200997QC70612;Fatal;1;1;4;Calzada;60;Oscuridad sin iluminacion;Bueno;Humeda;No;Rural
2009559D02192;Fatal;2;1;5;Calzada;40;Luz_dia;Bueno;Seca;No;Rural
201401TD00009;Fatal;2;1;7;Calzada;30;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200842I422111;Fatal;1;1;6;Calzada;60;Oscuridad sin iluminacion;Bueno;Humeda;No;Rural
201263DP38012;Fatal;2;2;3;Calzada;60;Luz_dia;Lluvioso;Humeda;No;Rural
201006Q032091;Fatal;1;2;7;Calzada;40;Oscuridad con luces encendidas;Bueno;Seca;No;Urbano
200943W197049;Fatal;1;1;2;Rotonda;-70;Luz_dia;Lluvioso;Humeda;No;Rural
200906Q020879;Fatal;1;2;2;Rotonda;30;Oscuridad con luces encendidas;Lluvioso;Humeda;No;Urbano
201104EN11078;Fatal;2;3;1;Calzada;60;Luz_dia;Bueno;Seca;No;Rural
200511BD12120;Fatal;2;2;5;Autovia;-70;Luz_dia;Bueno;Seca;No;Rural
